0000.000000 00000215 6 00 20 00 00 01 01  
0000.003482 00000511 7 00 F8 E5 F1 59 4F 31 
0000.003717 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.003958 00000181 8 7D 00 32 10 32 20 32 00
0000.004209 000001F8 8 00 00 FF FF FE 00 00 0F
0000.004449 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.004700 0000027F 8 00 05 00 00 00 00 00 01
0000.004951 00000285 8 00 00 00 00 00 00 42 C9
0000.005187 00000284 8 00 00 00 00 00 00 42 C8
0000.009114 000001F9 6 20 00 7D 00 00 FF  
0000.009364 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.013517 00000645 5 00 FA FF 00 00   
0000.013839 00000181 8 7D 00 32 10 32 20 32 00
0000.014085 000001F8 8 00 00 FF FF FE 00 00 0F
0000.014331 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.014561 00000652 8 95 90 00 15 40 07 55 50
0000.014792 00000244 7 FE FE 00 18 00 00 FE 
0000.018724 000001F9 6 20 00 7D 00 00 FF  
0000.018908 00000650 5 41 00 FF D6 00   
0000.019154 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.019968 00000215 6 00 20 00 00 01 01  
0000.021955 0000035D 8 90 03 00 00 09 C0 53 00
0000.023537 00000656 6 07 FF 07 FF 07 FF  
0000.023777 00000181 8 7D 00 32 10 32 20 32 00
0000.024028 000001F8 8 00 00 FF FF FE 00 00 0F
0000.024264 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.024468 0000065B 6 FF EF FE B8 40 7C  
0000.024724 0000027F 8 00 05 00 00 00 00 00 01
0000.024965 00000285 8 00 00 00 00 00 00 43 CA
0000.025211 00000284 8 00 00 00 00 00 00 43 C9
0000.029092 000001F9 6 20 00 7D 00 00 FF  
0000.029317 00000638 7 50 0F C5 90 00 00 00 
0000.029563 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.031944 000005FD 8 1F 64 55 4A C9 52 00 00
0000.033823 00000181 8 7D 00 32 10 32 20 32 00
0000.034074 000001F8 8 00 00 FF FF FE 00 00 0F
0000.034309 0000017A 8 FF FF FF FF 00 F0 31 A3
