0030.052239 000005C5 8 63 01 F6 45 16 A2 00 7F
0030.052547 000001F9 6 00 00 7D 00 00 FF  
0030.052833 00000638 7 50 10 05 90 08 00 00 
0030.053018 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.055496 0000027F 8 00 04 00 02 00 01 00 02
0030.055741 00000285 8 00 00 00 00 00 00 BF 46
0030.055987 00000284 8 00 00 00 00 00 00 BF 45
0030.057318 00000181 8 7D 00 32 10 32 20 32 00
0030.057569 000001F8 8 00 00 FF FF FE 00 00 0F
0030.057810 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.058051 000001FD 8 23 41 7F FF 7F FF 50 00
0030.058189 00000651 2 05 F0      
0030.062187 00000645 5 00 FF FF 00 00   
0030.062392 000001F9 6 00 00 7D 00 00 FF  
0030.062633 00000427 8 DB FF FF C7 FF FF 28 00
0030.062879 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.063775 00000215 6 FF 20 FF 00 00 00  
0030.065475 00000244 7 FE FE 00 18 00 00 FE 
0030.065720 00000354 8 00 00 00 00 00 00 06 00
0030.067292 00000181 8 7D 00 32 10 32 20 32 00
0030.067528 0000042E 8 FF FF DF FF E4 09 00 FF
0030.067768 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.068019 000001F8 8 00 00 FF FF FE 00 00 0F
0030.069683 00000500 5 02 6B FF E0 88   
0030.072202 00000656 6 07 FF 07 FF 07 FF  
0030.072566 000001F9 6 00 00 7D 00 00 FF  
0030.072817 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.075520 0000027F 8 00 04 00 02 00 01 00 02
0030.075771 00000285 8 00 00 00 00 00 00 C0 47
0030.076011 00000284 8 00 00 00 00 00 00 C0 46
0030.077312 00000551 8 48 00 00 00 FE 00 00 00
0030.077563 000001F8 8 00 00 FF FF FE 00 00 0F
0030.077803 00000181 8 7D 00 32 10 32 20 32 00
0030.078049 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.082227 000001F9 6 00 00 7D 00 00 FF  
0030.082493 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.083794 00000215 6 FF 20 FF 00 00 00  
0030.084004 00000625 6 82 00 E8 11 00 00  
0030.084905 00000511 7 00 E9 2C 0D 97 3C BB 
0030.085345 00000244 7 FE FE 00 18 00 00 FE 
0030.087301 00000181 8 7D 00 32 10 32 20 32 00
0030.087547 000001F8 8 00 00 FF FF FE 00 00 0F
0030.087782 0000017A 8 FF FF FF FF 00 F0 31 A3
