0000.000000 00000181 8 7D 00 32 10 32 20 32 00
0000.000251 000001F8 8 00 00 FF FF FE 00 00 0F
0000.000486 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.000696 00000511 7 00 1C A1 ED 4D 7B 45 
0000.000942 0000035D 8 90 03 00 00 09 C0 53 00
0000.001172 00000652 8 95 90 00 15 40 07 55 50
0000.004577 00000244 7 FE FE 00 18 00 00 FE 
0000.004987 000001F9 6 20 00 7D 00 00 FF  
0000.005181 00000650 5 41 00 FF D6 00   
0000.005422 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.006262 00000215 6 00 20 00 00 01 01  
0000.010025 00000181 8 7D 00 32 10 32 20 32 00
0000.010271 000001F8 8 00 00 FF FF FE 00 00 0F
0000.010506 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.010742 000005FD 8 1F 64 55 4A C9 42 00 00
0000.010947 0000065B 6 FF EF FE B8 40 7C  
0000.014623 0000027F 8 00 00 00 00 00 00 00 00
0000.014868 00000285 8 00 00 00 00 00 00 8F 16
0000.015109 00000284 8 00 00 00 00 00 00 8F 15
0000.015339 000001F9 6 20 00 7D 00 00 FF  
0000.015539 00000638 7 50 10 05 90 00 00 00 
0000.015790 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.020019 00000181 8 7D 00 32 10 32 20 32 00
0000.020265 000001F8 8 00 00 FF FF FE 00 00 0F
0000.020506 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.020751 000001FD 8 37 41 7F FF 7F FF 50 00
0000.021642 000005E4 3 00 00 00     
0000.024602 00000244 7 FE FE 00 18 00 00 FE 
0000.024852 00000354 8 00 00 00 00 00 00 06 00
0000.025052 000001F9 6 20 00 7D 00 00 FF  
0000.025298 00000427 8 DB FF FF C7 FF FF 28 00
0000.025539 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.026276 00000215 6 00 20 00 00 01 01  
0000.029998 00000181 8 7D 00 32 10 32 20 32 00
0000.030239 0000042E 8 FF FF DF FF E4 09 00 FF
0000.030474 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.030725 000001F8 8 00 00 FF FF FE 00 00 0F
0000.030961 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.031196 0000060D 8 0E 16 00 00 45 47 02 00
0000.034647 0000027F 8 00 00 00 00 00 00 00 00
0000.034893 00000285 8 00 00 00 00 00 00 90 17
0000.035149 00000284 8 00 00 00 00 00 00 90 16
0000.035354 000001F9 6 20 00 7D 00 00 FF  
0000.035599 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.040074 00000551 8 47 00 00 00 FE 02 00 00
0000.040325 000001F8 8 00 00 FF FF FE 00 00 0F
0000.040566 00000181 8 7D 00 32 10 32 20 32 00
0000.040735 00000366 4 00 00 00 A0    
0000.040975 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.041221 000005E9 8 00 38 00 00 00 18 00 02
0000.041405 00000645 5 00 FA FF 00 00   
0000.044600 00000244 7 FE FE 00 18 00 00 FE 
0000.044902 000001F9 6 20 00 7D 00 00 FF  
0000.045215 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.046280 00000215 6 00 20 00 00 01 01  
0000.046484 00000625 6 82 60 E7 11 00 00  
0000.050012 00000181 8 7D 00 32 10 32 20 32 00
0000.050263 000001F8 8 00 00 FF FF FE 00 00 0F
